fold,row_index,date,actual,predicted,prob_up,next_day_return,signal,position_change,transaction_cost,strategy_return,equity_curve,buy_hold_curve,benchmark_return,drawdown
3,148,2022-08-05,1,1,0.8635302245915805,0.007334364671648164,1,0.0,0.0,0.007334364671648164,0.9390630625783085,1.0508166654584745,0.007334364671648164,-0.060936937421691484
3,149,2022-08-08,1,1,0.8017951272794951,0.0005506610997998429,1,0.0,0.0,0.0005506610997998429,0.9395801680771293,1.051395309319164,0.0005506610997998429,-0.060419831922870704
3,150,2022-08-10,1,1,0.9355978028076124,0.007085929368824795,1,0.0,0.0,0.007085929368824795,0.9462379667844724,1.0588454222197132,0.007085929368824795,-0.05376203321552764
3,151,2022-08-11,1,1,0.9762518134846032,0.0022170219505635025,1,0.0,0.0,0.0022170219505635025,0.9483357971272901,1.061192905763028,0.0022170219505635025,-0.0516642028727099
3,152,2022-08-12,1,1,0.9340151751412908,0.007181519343531395,1,0.0,0.0,0.007181519343531395,0.955146288998523,1.0688138831429834,0.007181519343531395,-0.04485371100147695
3,153,2022-08-16,1,1,0.9425316583888892,0.006675923198833145,1,0.0,0.0,0.006675923198833145,0.9615227722675277,1.0759492025406927,0.006675923198833145,-0.03847722773247231
3,154,2022-08-17,1,1,0.839586276304123,0.0006826699360520383,1,0.0,0.0,0.0006826699360520383,0.9621791749569841,1.0766837207139863,0.0006826699360520383,-0.03782082504301587
3,155,2022-08-18,0,1,0.8843330492753626,-0.011029475746944017,1,0.0,0.0,-0.011029475746944017,0.9515668430825814,1.0648084637292419,-0.011029475746944017,-0.04843315691741856
3,156,2022-08-19,0,1,0.9304417511712488,-0.0150773300473388,1,0.0,0.0,-0.0150773300473388,0.9372197557273211,1.0487539950843963,-0.0150773300473388,-0.06278024427267892
3,157,2022-08-22,1,1,0.9471832794997572,0.00496268217550444,1,0.0,0.0,0.00496268217550444,0.9418708795035997,1.0539586278422908,0.00496268217550444,-0.05812912049640029
3,158,2022-08-23,1,1,0.9468815292349516,0.001561611079505143,1,0.0,0.0,0.001561611079505143,0.9433417155044957,1.0556045013128694,0.001561611079505143,-0.05665828449550425
3,159,2022-08-24,0,1,0.9848428963009004,-0.004686182219266755,1,0.0,0.0,-0.004686182219266755,0.938921044330606,1.0506577462682392,-0.004686182219266755,-0.06107895566939403
3,160,2022-08-25,1,1,0.9900032754957914,0.002080255529346653,1,0.0,0.0,0.002080255529346653,0.9408742400246947,1.0528433828543646,0.002080255529346653,-0.059125759975305336
3,161,2022-08-26,0,1,0.9880010871636554,-0.014009988924553851,1,0.0,0.0,-0.014009988924553851,0.9276926023425507,1.038093058721285,-0.014009988924553851,-0.07230739765744931
3,162,2022-08-29,1,1,0.9562380261468764,0.02578426378902554,1,0.0,0.0,0.02578426378902554,0.9516124731164786,1.064859523984911,0.02578426378902554,-0.04838752688352144
3,163,2022-08-30,0,1,0.9918422791724338,-0.012190795272107646,1,0.0,0.0,-0.012190795272107646,0.9400115602783315,1.051878039534457,-0.012190795272107646,-0.05998843972166845
3,164,2022-09-01,0,1,0.969687853714588,-0.0001910505934481499,1,0.0,0.0,-0.0001910505934481499,0.9398319705118923,1.0516770776107687,-0.0001910505934481499,-0.06016802948810773
3,165,2022-09-02,1,1,0.9931155451250436,0.007203850071011875,1,0.0,0.0,0.007203850071011875,0.9466023791194036,1.0592532016009966,0.007203850071011875,-0.05339762088059641
4,166,2022-09-05,0,1,0.6053289388793255,-0.0005774531254664206,1,0.0,0.0,-0.0005774531254664206,0.9460557606170071,1.0586415325290717,-0.0005774531254664206,-0.053944239382992865
4,167,2022-09-06,0,1,0.788253322283669,-0.0017671004916441913,1,0.0,0.0,-0.0017671004916441913,0.944383985017298,1.0567708065564645,-0.0017671004916441913,-0.05561601498270197
4,168,2022-09-07,1,1,0.6369973885806268,0.009892512965589573,1,0.0,0.0,0.009892512965589573,0.9537263158335768,1.0672249254619808,0.009892512965589573,-0.04627368416642319
4,169,2022-09-08,1,1,0.905552554087517,0.0019439347917691308,1,0.0,0.0,0.0019439347917691308,0.9555802976007515,1.0692995411252295,0.0019439347917691308,-0.04441970239924853
4,170,2022-09-09,1,1,0.8783348870507235,0.005775695663245095,1,0.0,0.0,0.005775695663245095,0.9610994385814866,1.0754754898476164,0.005775695663245095,-0.03890056141851339
4,171,2022-09-12,1,1,0.733452907842695,0.007454201929980142,1,0.0,0.0,0.007454201929980142,0.9682636678714636,1.0834923013196849,0.007454201929980142,-0.03173633212853644
4,172,2022-09-13,0,1,0.8227361265784495,-0.0036690976717561608,1,0.0,0.0,-0.0036690976717561608,0.9647110139020303,1.079516862239547,-0.0036690976717561608,-0.03528898609796971
4,173,2022-09-14,0,1,0.714627492189245,-0.007017960667916379,1,0.0,0.0,-0.007017960667916379,0.9579407099505601,1.0719408553599974,-0.007017960667916379,-0.04205929004943987
4,174,2022-09-15,0,1,0.7956401902355777,-0.019384853148544656,1,0.0,0.0,-0.019384853148544656,0.939371169963156,1.0511614392949185,-0.019384853148544656,-0.06062883003684405
4,175,2022-09-16,1,1,0.8498837398942837,0.0052136885924867205,1,0.0,0.0,0.0052136885924867205,0.9442687587161037,1.0566418676998324,0.0052136885924867205,-0.05573124128389628
4,176,2022-09-19,1,1,0.5310150413329269,0.011008809885230342,1,0.0,0.0,0.011008809885230342,0.9546640339613718,1.0682742371381146,0.011008809885230342,-0.04533596603862822
4,177,2022-09-20,0,1,0.7389208780813757,-0.005495005437451739,1,0.0,0.0,-0.005495005437451739,0.9494181499038145,1.062404064396351,-0.005495005437451739,-0.05058185009618554
4,178,2022-09-21,0,1,0.579971716590171,-0.004997577656902563,1,0.0,0.0,-0.004997577656902563,0.9446733589707974,1.0570946175815215,-0.004997577656902563,-0.055326641029202595
4,179,2022-09-22,0,0,0.2656669309561796,-0.017155677232420508,0,1.0,0.001,-0.001,0.9437286856118267,1.038959443518164,-0.017155677232420508,-0.056271314388173344
4,180,2022-09-23,0,1,0.7568741438705031,-0.017951321762256445,1,1.0,0.001,-0.018951321762256446,0.9258437796345256,1.0203087482496345,-0.017951321762256445,-0.07415622036547442
